year,chamber,party,number
1970,senate,D,0
1972,senate,D,0
1974,senate,D,2
1976,senate,D,1
1978,senate,D,1
1980,senate,D,2
1982,senate,D,1
1984,senate,D,6
1986,senate,D,3
1988,senate,D,0
1990,senate,D,2
1992,senate,D,10
1994,senate,D,4
1996,senate,D,5
1998,senate,D,7
2000,senate,D,4
2002,senate,D,8
2004,senate,D,9
2006,senate,D,8
2008,senate,D,4
2010,senate,D,9
2012,senate,D,12
2014,senate,D,10
2016,senate,D,12
2018,senate,D,15
1970,senate,R,1
1972,senate,R,2
1974,senate,R,1
1976,senate,R,0
1978,senate,R,1
1980,senate,R,3
1982,senate,R,2
1984,senate,R,4
1986,senate,R,3
1988,senate,R,2
1990,senate,R,6
1992,senate,R,1
1994,senate,R,5
1996,senate,R,4
1998,senate,R,3
2000,senate,R,2
2002,senate,R,3
2004,senate,R,1
2006,senate,R,4
2008,senate,R,3
2010,senate,R,6
2012,senate,R,6
2014,senate,R,5
2016,senate,R,4
2018,senate,R,8
1970,house,D,15
1972,house,D,24
1974,house,D,30
1976,house,D,34
1978,house,D,27
1980,house,D,27
1982,house,D,27
1984,house,D,30
1986,house,D,30
1988,house,D,33
1990,house,D,39
1992,house,D,70
1994,house,D,72
1996,house,D,77
1998,house,D,75
2000,house,D,80
2002,house,D,78
2004,house,D,88
2006,house,D,94
2008,house,D,95
2010,house,D,91
2012,house,D,118
2014,house,D,109
2016,house,D,120
2018,house,D,187
1970,house,R,10
1972,house,R,8
1974,house,R,14
1976,house,R,20
1978,house,R,19
1980,house,R,25
1982,house,R,28
1984,house,R,35
1986,house,R,34
1988,house,R,26
1990,house,R,30
1992,house,R,36
1994,house,R,40
1996,house,R,42
1998,house,R,46
2000,house,R,42
2002,house,R,46
2004,house,R,53
2006,house,R,42
2008,house,R,37
2010,house,R,47
2012,house,R,48
2014,house,R,50
2016,house,R,47
2018,house,R,52